game_id,player_elo,legal_move_num,move_color,board_fen,player_move,maia_move_1100,stockfish_move,pikebot_heuristic_move,pikebot_move_800,pikebot_move_1100,pikebot_move_1500,pikebot_move_1900,pikebot_move_2200,pikebot_move_2600,pikebot_prob_800,pikebot_prob_1100,pikebot_prob_1500,pikebot_prob_1900,pikebot_prob_2200,pikebot_prob_2600,position_of_player_move_in_pikebot_800,position_of_player_move_in_pikebot_1100,position_of_player_move_in_pikebot_1500,position_of_player_move_in_pikebot_1900,position_of_player_move_in_pikebot_2200,position_of_player_move_in_pikebot_2600,player_move_in_top_3_pikebot,player_move_in_top_5_pikebot
131,1531,22,True,6k1/ppp2ppp/8/2q1P3/8/1Pp1RBPP/2r2P2/5K2 w - - 0 30,f3b7,e5e6,b3b4,f3e4,e3e2,e3e2,e3e2,e3e2,e3e2,e3e2,0.88170624,0.8891042,0.89831716,0.9097639,0.91589737,0.92284596,16,16,15,14,13,13,0,0
131,1531,3,True,6k1/pBp2ppp/8/2q1P3/8/1Pp1R1PP/5P2/2r2K2 w - - 1 31,f1g2,f1g2,f1g2,e3e1,e3e1,e3e1,e3e1,e3e1,e3e1,e3e1,0.9147609,0.9158116,0.923486,0.9229105,0.93107575,0.9313415,2,2,2,2,2,2,1,1
131,1531,21,True,6k1/pBp2ppp/8/2q1P3/8/1P2R1PP/2p2PK1/2r5 w - - 0 32,b7e4,e5e6,b7e4,e3e4,e3f3,e3f3,e3f3,e3f3,e3f3,e3f3,0.81880146,0.8231997,0.8314939,0.8443368,0.85380405,0.86834204,5,5,5,5,3,2,1,1
131,1531,22,True,6k1/p1p2p1p/6p1/2q1P3/4B3/1P2R1PP/2p2PK1/2r5 w - - 0 33,f2f4,h3h4,b3b4,e5e6,e3f3,e3f3,e3f3,e3f3,e3f3,e3f3,0.8744259,0.8775084,0.8856487,0.89284164,0.8998992,0.903193,4,4,3,4,4,7,1,1
132,1348,36,True,r1bqk2r/pppp1ppp/2n2n2/2b1p3/2B1P3/2N2N2/PPPP1PPP/R1BQK2R w KQkq - 6 5,e1g1,d2d3,d2d3,e1g1,c4e6,c4e6,c4e6,c4e6,c4e6,d1e2,0.9721029,0.9692193,0.96336937,0.95586693,0.9485383,0.9345509,16,15,17,17,17,17,0,0
132,1348,33,True,r1bq1rk1/pppp1ppp/2n2n2/2b1p3/2B1P3/2N2N2/PPPP1PPP/R1BQ1RK1 w - - 8 6,d2d3,d2d3,d2d3,g1h1,d2d3,d2d3,d2d3,d2d3,d2d3,d2d3,0.8626247,0.8688383,0.87684685,0.8826307,0.8876663,0.89409494,1,1,1,1,1,1,1,1
132,1348,37,True,r1bq1rk1/pppp1pp1/2n2n1p/2b1p3/2B1P3/2NP1N2/PPP2PPP/R1BQ1RK1 w - - 0 7,a2a3,c1e3,h2h3,c3d5,d1e1,d1e1,d1e1,d1e1,d1e1,d1e1,0.7361508,0.74753004,0.75900733,0.771644,0.7845496,0.7992041,23,19,20,20,20,17,0,0
132,1348,38,True,r1bq1rk1/pppp1pp1/5n1p/2b1p3/2BnP3/P1NP1N2/1PP2PPP/R1BQ1RK1 w - - 1 8,b2b4,f3d4,f3e5,f3e5,f3e5,f3e5,f3e5,f3e5,f3e5,f3e5,0.8519685,0.8620213,0.878506,0.88946986,0.9006374,0.9119788,7,6,6,6,6,7,0,0
132,1348,3,True,r1bq1rk1/pppp1pp1/5n1p/2b1p3/1PB1P3/P1NP1n2/2P2PPP/R1BQ1RK1 w - - 0 9,d1f3,d1f3,d1f3,d1f3,d1f3,d1f3,d1f3,d1f3,d1f3,d1f3,0.6498606,0.66425836,0.6835492,0.7031477,0.7228665,0.7447368,1,1,1,1,1,1,1,1
132,1348,41,True,r1bq1rk1/pppp1pp1/5n1p/4p3/1PBbP3/P1NP1Q2/2P2PPP/R1B2RK1 w - - 1 10,c1d2,c1b2,c1d2,c1d2,c1d2,c1d2,c1d2,c1d2,c1d2,c1d2,0.8400111,0.8473813,0.86504465,0.8736095,0.89059764,0.90447503,1,1,1,1,1,1,1,1
132,1348,46,True,r1bq1rk1/pp1p1pp1/2p2n1p/4p3/1PBbP3/P1NP1Q2/2PB1PPP/R4RK1 w - - 0 11,a1b1,a1b1,h2h3,c4a2,f3g3,f3g3,f3g3,f3g3,f3g3,f3g3,0.75098515,0.7606701,0.7822894,0.8099917,0.81807953,0.83531076,9,9,5,5,4,4,0,1
132,1348,43,True,r1bq1rk1/p2p1pp1/2p2n1p/1p2p3/1PBbP3/P1NP1Q2/2PB1PPP/1R3RK1 w - - 0 12,c4b3,c4b3,c4b3,c3b5,c4f7,c4f7,c4f7,d2h6,d2h6,c4b3,0.7958449,0.78587556,0.7712562,0.75408995,0.7232893,0.7149262,9,6,3,3,3,1,1,1
132,1348,43,True,r1bq1rk1/3p1pp1/2p2n1p/pp2p3/1P1bP3/PBNP1Q2/2PB1PPP/1R3RK1 w - - 0 13,c3e2,b4a5,c3e2,c3e2,d2h6,b1d1,h2h3,h2h3,h2h3,h2h3,0.7362456,0.7439799,0.76132673,0.77295136,0.79425097,0.80839205,17,17,16,13,15,12,0,0
132,1348,44,True,r1bq1rk1/3p1pp1/2p2n1p/1p2p3/1p1bP3/PB1P1Q2/2PBNPPP/1R3RK1 w - - 0 14,a3b4,a3b4,e2d4,e2d4,e2d4,e2d4,e2d4,e2d4,e2d4,e2d4,0.82822496,0.84695953,0.8648372,0.8859401,0.894379,0.91261923,18,15,12,11,11,11,0,0
132,1348,41,True,r1bq1rk1/5pp1/2pp1n1p/1p2p3/1P1bP3/1B1P1Q2/2PBNPPP/1R3RK1 w - - 0 15,e2d4,c2c3,e2d4,e2d4,e2d4,e2d4,e2d4,e2d4,e2d4,e2d4,0.8881073,0.89946485,0.9101875,0.92753184,0.9383049,0.9486125,1,1,1,1,1,1,1,1
132,1348,39,True,r1bq1rk1/5pp1/2pp1n1p/1p6/1P1pP3/1B1P1Q2/2PB1PPP/1R3RK1 w - - 0 16,f3g3,f3g3,f3g3,b1a1,f3d1,f3d1,f1d1,f1d1,f1d1,c2c3,0.91128874,0.9191615,0.9314825,0.9385017,0.9433421,0.9495641,10,9,9,9,8,5,0,1
132,1348,40,True,r1bq1rk1/5pp1/2pp3p/1p5n/1P1pP3/1B1P2Q1/2PB1PPP/1R3RK1 w - - 2 17,g3f3,g3f3,g3g6,g3g6,g3g6,g3g6,g3g6,g3g6,g3g6,g3g6,0.8298771,0.83318484,0.84608024,0.86087495,0.8699113,0.88039577,4,3,2,2,2,2,1,1
132,1348,39,True,r1bq1rk1/5pp1/2pp1n1p/1p6/1P1pP3/1B1P1Q2/2PB1PPP/1R3RK1 w - - 4 18,f3g3,f3g3,f3g3,b1a1,b1a1,b1a1,b1a1,f3g3,f3g3,f3g3,0.8752825,0.8805508,0.8886466,0.9034211,0.9147581,0.92187846,4,4,3,1,1,1,1,1
132,1348,40,True,r1bq1rk1/5pp1/2pp3p/1p5n/1P1pP3/1B1P2Q1/2PB1PPP/1R3RK1 w - - 6 19,g3f3,g3f3,g3g6,g3g6,g3g6,g3g6,g3g6,g3g6,g3g6,g3g6,0.8255592,0.8341845,0.8487466,0.8597102,0.8632773,0.8759997,4,3,2,2,2,2,1,1
133,1120,38,True,r1bqk2r/pppp1ppp/2n2n2/2b1p3/2B1P3/3P1N2/PPP2PPP/RNBQK2R w KQkq - 1 5,h2h3,f3g5,b1c3,b1c3,c4f7,c4f7,c4f7,c4f7,c4f7,c4f7,0.99997985,0.99997234,0.999961,0.99995244,0.99994075,0.9999169,17,17,17,17,17,15,0,0
133,1120,39,True,r1bqk2r/pppp1pp1/2n2n1p/2b1p3/2B1P3/3P1N1P/PPP2PP1/RNBQK2R w KQkq - 0 6,b1c3,e1g1,b1c3,b1c3,c4f7,c1d2,c1d2,c1d2,f3h4,f3h4,0.7474027,0.7517388,0.7736535,0.7900443,0.7927423,0.8041251,6,5,6,7,7,7,0,1
133,1120,41,True,r1bq1rk1/pppp1pp1/2n2n1p/2b1p3/2B1P3/2NP1N1P/PPP2PP1/R1BQK2R w KQ - 2 7,a2a3,e1g1,g2g4,g2g4,c4f7,c4f7,c4f7,d1e2,d1e2,d1e2,0.8516973,0.8439064,0.8380062,0.84330654,0.84787875,0.8583094,8,8,7,8,8,7,0,0
133,1120,43,True,r1bq1rk1/ppp2pp1/2np1n1p/2b1p3/2B1P3/P1NP1N1P/1PP2PP1/R1BQK2R w KQ - 0 8,b2b4,b2b4,g2g4,c4a2,c1d2,c1d2,c1d2,c1d2,c1d2,c1d2,0.7849559,0.7944455,0.8076351,0.81784475,0.8274683,0.8349539,12,11,10,9,7,8,0,0
133,1120,42,True,r1bq1rk1/ppp2pp1/2np1n1p/4p3/1PBbP3/P1NP1N1P/2P2PP1/R1BQK2R w KQ - 1 9,c1b2,c1b2,c1b2,f3d4,c1d2,c1d2,c1d2,c1d2,c1d2,c1d2,0.7859211,0.79793686,0.8135409,0.83058536,0.842441,0.85618895,2,2,2,2,2,2,1,1
133,1120,39,True,r2q1rk1/ppp2pp1/2npbn1p/4p3/1PBbP3/P1NP1N1P/1BP2PP1/R2QK2R w KQ - 3 10,c4e6,c4e6,c4e6,c4e6,d1e2,d1e2,d1e2,c4e6,c4e6,c4e6,0.82000303,0.8252706,0.8386706,0.8491948,0.8685525,0.8860363,3,3,3,1,1,1,1,1
